identifier,parliamentary_term,speeches
1832,8,0
124936,8,0
5729,8,0
117491,8,0
125105,8,0
130100,8,0
4253,8,0
96848,8,0
98341,8,0
38605,8,0
125128,8,0
124710,8,0
23699,8,0
96718,8,0
124708,8,0
124709,8,0
23699,8,0
124876,8,0
37312,8,0
28161,8,0
124876,8,0
1055,8,0
112788,8,0
28220,8,0
4282,8,0
4289,8,0
96756,8,0
96780,8,0
124826,8,0
124836,8,0
124838,8,0
124841,8,0
124888,8,0
1849,8,0
1854,8,0
1913,8,0
195912,8,0
93624,8,0
96831,8,0
96837,8,0
96839,8,0
96932,8,0
103381,8,0
124848,8,0
28233,8,0
28240,8,0
96728,8,0
96734,8,0
124825,8,0
124829,8,0
124862,8,0
120478,8,0
96852,8,0
124698,8,0
124700,8,0
124988,8,0
28115,8,0
96603,8,0
124984,8,0
22418,8,0
28390,8,0
4319,8,0
96765,8,0
96806,8,0
96811,8,0
125041,8,0
125043,8,0
125045,8,0
28292,8,0
28298,8,0
4334,8,0
96991,8,0
24942,8,0
125038,8,0
96922,8,0
101580,8,0
1179,8,0
124732,8,0
2025,8,0
24594,8,0
38596,8,0
4345,8,0
72775,8,0
72779,8,0
124740,8,0
124748,8,0
124750,8,0
124753,8,0
124758,8,0
124765,8,0
124769,8,0
124771,8,0
21331,8,0
28210,8,0
103845,8,0
114279,8,0
124287,8,0
193080,8,0
1985,8,0
96952,8,0
96743,8,0
96868,8,0
96883,8,0
124765,8,0
124771,8,0
189065,8,0
119434,8,0
119436,8,0
124749,8,0
185341,8,0
112748,8,0
119431,8,0
124831,8,0
124861,8,0
28429,8,0
58758,8,0
96775,8,0
96813,8,0
124777,8,0
124779,8,0
124811,8,0
124831,8,0
124833,8,0
124835,8,0
124842,8,0
124859,8,0
28429,8,0
97198,8,0
124787,8,0
124799,8,0
124801,8,0
124803,8,0
124804,8,0
124814,8,0
124846,8,0
124847,8,0
124861,8,0
124864,8,0
124868,8,0
28340,8,0
28346,8,0
96917,8,0
124779,8,0
124835,8,0
58758,8,0
97198,8,0
25704,8,0
25704,8,0
28617,8,0
96934,8,0
124745,8,0
28619,8,0
28619,8,0
28276,8,0
96681,8,0
1185,8,0
124776,8,0
193292,8,0
102886,8,0
124712,8,0
28141,8,0
28150,8,0
124712,8,0
28141,8,0
28150,8,0
96661,8,0
118859,8,0
124968,8,0
118858,8,0
124970,8,0
125030,8,0
38398,8,0
97513,8,0
125021,8,0
37229,8,0
96815,8,0
190519,8,0
28266,8,0
125023,8,0
125016,8,0
96882,8,0
125024,8,0
133316,8,0
96998,8,0
97014,8,0
124934,8,0
97017,8,0
124889,8,0
124898,8,0
28284,8,0
96776,8,0
96779,8,0
96781,8,0
96791,8,0
124883,8,0
28377,8,0
124877,8,0
124900,8,0
28334,8,0
28353,8,0
96776,8,0
124733,8,0
124734,8,0
124737,8,0
125099,8,0
28306,8,0
28308,8,0
96820,8,0
37324,8,0
39713,8,0
39717,8,0
96824,8,0
96825,8,0
124785,8,0
124793,8,0
191377,8,0
33989,8,0
33997,8,0
95281,8,0
96824,8,0
125103,8,0
125104,8,0
96911,8,0
23894,8,0
23868,8,0
23868,8,0
96655,8,0
124901,8,0
124726,8,0
40599,8,0
124735,8,0
96684,8,0
2054,8,0
132366,8,0
191693,8,0
124736,8,0
96674,8,0
124995,8,0
124991,8,0
124997,8,0
28131,8,0
96672,8,0
124993,8,0
128588,8,0
96675,8,0
124995,8,0
124992,8,0
197455,9,29
124936,9,89
5729,9,50
197470,9,64
197471,9,0
208722,9,52
197469,9,89
130100,9,100
4253,9,35
98341,9,23
197842,9,36
197842,9,36
197845,9,51
125128,9,11
197842,9,36
197848,9,38
124710,9,180
23699,9,57
197522,9,18
197549,9,73
197552,9,36
124708,9,326
124709,9,10
197522,9,18
23699,9,57
197515,9,55
199941,9,17
37312,9,60
197573,9,12
28161,9,25
197567,9,114
204331,9,8
197408,9,48
197422,9,10
197427,9,28
197429,9,11
206158,9,25
226260,9,8
4289,9,53
96756,9,18
96780,9,37
99945,9,31
197475,9,42
197483,9,60
206158,9,25
124836,9,26
1854,9,5
1913,9,5
197433,9,237
197435,9,99
197440,9,43
96837,9,14
96932,9,35
103381,9,75
183916,9,40
