identifier,name,country,political_group,gender,parliamentary_term
1832,Marianne Thyssen,BE,PPE,FEMALE,8
124936,Maria Arena,BE,S-D,FEMALE,8
5729,Kathleen Van Brempt,BE,S-D,FEMALE,8
117491,Anneleen Van Bossuyt,BE,ECR,FEMALE,8
125105,Helga Stevens,BE,ECR,FEMALE,8
130100,Hilde Vautmans,BE,RENEW,FEMALE,8
4253,Frédérique Ries,BE,RENEW,FEMALE,8
96848,Mariya Gabriel,BG,PPE,FEMALE,8
98341,Eva Maydell,BG,PPE,FEMALE,8
38605,Iliana Iotova,BG,S-D,FEMALE,8
125128,Iskra Mihaylova,BG,RENEW,FEMALE,8
124710,Michaela Šojdrová,CZ,PPE,FEMALE,8
23699,Kateřina Konečná,CZ,NI,FEMALE,8
96718,Olga Sehnalová,CZ,S-D,FEMALE,8
124708,Dita Charanzová,CZ,RENEW,FEMALE,8
124709,Martina Dlabajová,CZ,RENEW,FEMALE,8
23699,Kateřina Konečná,CZ,THE-LEFT,FEMALE,8
124876,Rikke-Louise Karlsson,DK,NI,FEMALE,8
37312,Christel Schaldemose,DK,S-D,FEMALE,8
28161,Margrete Auken,DK,VERTS-ALE,FEMALE,8
124876,Rikke-Louise Karlsson,DK,ECR,FEMALE,8
1055,Godelieve Quisthoudt-Rowohl,DE,PPE,FEMALE,8
112788,Birgit Collin-Langen,DE,PPE,FEMALE,8
28220,Ingeborg Gräßle,DE,PPE,FEMALE,8
4282,Renate Sommer,DE,PPE,FEMALE,8
4289,Angelika Niebler,DE,PPE,FEMALE,8
96756,Sabine Verheyen,DE,PPE,FEMALE,8
96780,Monika Hohlmeier,DE,PPE,FEMALE,8
124826,Martina Werner,DE,S-D,FEMALE,8
124836,Maria Noichl,DE,S-D,FEMALE,8
124838,Susanne Melior,DE,S-D,FEMALE,8
124841,Iris Hoffmann,DE,S-D,FEMALE,8
124888,Gabriele Preuß,DE,S-D,FEMALE,8
1849,Sylvia-Yvonne Kaufmann,DE,S-D,FEMALE,8
1854,Constanze Krehl,DE,S-D,FEMALE,8
1913,Evelyne Gebhardt,DE,S-D,FEMALE,8
195912,Babette Winter,DE,S-D,FEMALE,8
93624,Ulrike Rodust,DE,S-D,FEMALE,8
96831,Jutta Steinruck,DE,S-D,FEMALE,8
96837,Petra Kammerevert,DE,S-D,FEMALE,8
96839,Kerstin Westphal,DE,S-D,FEMALE,8
96932,Birgit Sippel,DE,S-D,FEMALE,8
103381,Terry Reintke,DE,VERTS-ALE,FEMALE,8
124848,Maria Heubuch,DE,VERTS-ALE,FEMALE,8
28233,Rebecca Harms,DE,VERTS-ALE,FEMALE,8
28240,Helga Trüpel,DE,VERTS-ALE,FEMALE,8
96728,Barbara Lochbihler,DE,VERTS-ALE,FEMALE,8
96734,Ska Keller,DE,VERTS-ALE,FEMALE,8
124825,Beatrix von Storch,DE,ECR,FEMALE,8
124829,Ulrike Trebesius,DE,ECR,FEMALE,8
124862,Ulrike Müller,DE,RENEW,FEMALE,8
